معیار;زیرمعیار;کد رویکرد;عنوان رویکرد;مصادیق مستندات;هدف رویکرد;فرایندهای مرتبط;اهداف و استراتژی های مرتبط;اهداف راهبردی مرتبط;شاخص‌های مرتبط از بانک شاخص‌ها;شرح جاری سازی;مستندات مرتبط
3. تعامل با ذی‌نفعان;3-هـ: برقراری روابط با شرکا و تأمین‌کنندگان برای ارزش‌آفرینی پایدار;3.5.3;اطمینان از شفافیت;قراردادهای شفاف و گزارش‌دهی منظم | مستندات شفافیت در روابط با شرکا و تأمین‌کنندگان;ایجاد شفافیت در روابط با شرکا و تأمین‌کنندگان از طریق قراردادهای شفاف و گزارش‌دهی منظم.;مدیریت تدارکات و پشتیبانی (SOP-323);شفاف‌سازی اطلاعات پروژه‌ها برای ذینفعان|افزایش رضایت ذینفعان;توسعه ارتباط با مشتری;شفافیت در فرآیند انتخاب و همکاری با شرکا و تأمین‌کنندگان | رعایت رفتار اخلاقی و شفافیت در انتخاب و همکاری‌ها | شاخص شفافیت و پاسخگویی در مدیریت | انطباق کامل با قوانین و مقررات مرتبط | پایبندی به تعهدات و رفتار مسئولانه در همکاری‌ها | تحویل به موقع کالاها و خدمات;;
3. تعامل با ذی‌نفعان;3-هـ: برقراری روابط با شرکا و تأمین‌کنندگان برای ارزش‌آفرینی پایدار;3.5.4;ایجاد روابط پایدار مبتنی بر اعتماد;گزارش جلسات مشترک و همکاری بلند مدت | مستندات توسعه روابط مبتنی بر اعتماد;توسعه روابط مبتنی بر اعتماد و همکاری بلند مدت با تأمین‌کنندگان و شرکا از طریق جلسات مشترک و همکاری در پروژه‌ها.;مدیریت تدارکات و پشتیبانی (SOP-323);توسعه زنجیره ارزش|افزایش رضایت ذینفعان;توسعه زنجیره ارزش;نمره پایداری روابط با شرکا و تأمین‌کنندگان | توسعه ارتباطات و حفظ روابط پایدار با تأمین‌کنندگان و شرکا | تعامل متعهدانه، الهام‌بخش و حمایتگرانه مبتنی بر ارزش‌ها و فرهنگ مشترک | پایبندی به تعهدات و رفتار مسئولانه در همکاری‌ها | میانگین نمره تجربه شرکا در تعامل با سازمان | بهبود مستمر عملکرد سازمان از طریق همکاری با تأمین‌کنندگان;;
3. تعامل با ذی‌نفعان;3-هـ: برقراری روابط با شرکا و تأمین‌کنندگان برای ارزش‌آفرینی پایدار;3.5.5;تعامل فعال و هم افزایی;مستندات تبادل اطلاعات و تجربیات | گزارش همکاری و اشتراک دانش و مهارت‌ها;تشویق همکاری فعال و مشترک با تأمین‌کنندگان به‌منظور بهبود مستمر از طریق تبادل اطلاعات و تجربیات و اشتراک دانش و مهارت ها;مدیریت تدارکات و پشتیبانی (SOP-323);توسعه زنجیره ارزش|افزایش رضایت ذینفعان;توسعه زنجیره ارزش;مشارکت و همکاری در توسعه و بهبود فرآیندها، محصولات و خدمات مشترک | توسعه همکاری‌های شبکه‌ای و ایجاد هم‌افزایی‌ها | مشارکت در فعالیت‌های هم‌افزا و همکاری‌های مشترک | ارتباط سیستمی و شبکه‌سازی مؤثر بین سازمان و شرکا | انتقال دانش و تجربیات بین کارکنان | درصد تعهد به فعالیت‌های هم‌آفرینی;;
3. تعامل با ذی‌نفعان;3-هـ: برقراری روابط با شرکا و تأمین‌کنندگان برای ارزش‌آفرینی پایدار;3.5.6;توسعه قابلیت های مشترک;پروژه‌های توسعه‌ای و نوآورانه مشترک | مستندات همکاری با شرکا برای بهبود قابلیت‌ها;همکاری با شرکا برای شناسایی و بهبود قابلیت‌های مشترک از طریق پروژه‌های توسعه ای و نوآورانه و فناورانه;تحقیق و توسعه (R&D) (COP-241)| مدیریت تدارکات و پشتیبانی (SOP-323);همکاری با شرکت‌های دانش‌بنیان|افزایش رضایت ذینفعان;توسعه دانش فنی;ارتقای توانمندی‌ها و مهارت‌های تأمین‌کنندگان و شرکا | درصد نوآوری و همکاری با تأمین‌کنندگان | میزان پذیرش و اجرای فناوری‌های جدید و تغییرات در تأمین‌کنندگان | ارتقا و توسعه کسب‌وکار تأمین‌کنندگان از طریق سرمایه‌گذاری و رشد | نرخ بازده سرمایه گذاری در حوزه نوآوری | توانمندی پایپلاین نوآوری | درصد نوآوری و تحقیق و توسعه محصولات;;
4. ایجاد ارزش پایدار;4-الف: طراحی ارزش و چگونگی ایجاد آن;4.1.1;تحقیقات بازار و مطالعات امکان سنجی;گزارش تحقیقات بازار و نظرسنجی‌ها | مستندات تحلیل مزایای ارزش پیشنهادی برای مشتریان و ذی‌نفعان در پروژه‌های پیشنهادی جدید;تحلیل و شناسایی مزایای ارزش پیشنهادی برای مشتریان و ذی‌نفعان از طریق تحقیقات بازار و نظرسنجی‌ها. در هر پروژه پیشنهادی جدید;رصد بازار و کشف فرصت (COP-211)| توسعه مدل کسب‌وکار (MOP-123);توسعه بازاریابی دیجیتال و تحقیقات بازار|افزایش سودآوری, ایجاد ارزش افزوده در بازار داخلی و خارجی;توسعه بازاریابی دیجیتال و تحقیقات بازار;سهم بازار | رشد سهم بازار | سهم بازار نسبی | نرخ تبدیل مشتریان بالقوه به مشتریان حقیقی | هزینه خلق مشتریان جدید | نرخ آگاهی مشتریان | میزان آگاهی مشتریان از اهداف سازمان | نمره تحلیل داده‌ها و روندهای فناوری | نمره پیش‌بینی تغییرات محیط زیست و بازار;;
4. ایجاد ارزش پایدار;4-الف: طراحی ارزش و چگونگی ایجاد آن;4.1.2;مشارکت ذی‌نفعان در خلق ارزش;مستندات جلسات مشاوران، پیمانکاران، کارکنان و سهامداران در فازهای مختلف پروژه (0،1،2) | استفاده از قابلیت‌های فناورانه و نوآورانه شرکت‌های تابعه;جلب مشارکت ذی‌نفعان (تیم مشاور و پیمانکاران و کارکنان و سهامداران و ...) در فرآیند مطالعات و امکان سنجی و طراحی المان های پروژه در فاز 0 و 1 و 2 و همچنین استفاده از قابلیت های فناورانه و نوآورانه شرکت های تابعه بنیاد;مدیریت استراتژیک (MOP-111)| رصد بازار و کشف فرصت (COP-211);توسعه سامانه‌های ارتباط با مشتری (CRM)| توسعه بازاریابی دیجیتال و تحقیقات بازار|افزایش رضایت ذینفعان;توسعه ارتباط با مشتری;مشارکت مشتریان در بهبود فرآیندها و توسعه محصولات یا خدمات | درصد تعهد به فعالیت‌های هم‌آفرینی | میانگین نمره تجربه کلی ذی‌نفعان | میانگین نمره تجربه شرکا در تعامل با سازمان | تعداد پیشنهادات، مشارکت‌ها و کار تیمی کارکنان | میزان مشارکت فعال کارکنان و کار تیمی در سازمان | رضایت از مشارکت در تصمیم‌گیری;;
4. ایجاد ارزش پایدار;4-الف: طراحی ارزش و چگونگی ایجاد آن;4.1.3;توسعه سبد محصولات و خدمات;مطالعات فرصت‌ها و تحقیقات بازار | مستندات توسعه زنجیره ارزش محصولات و خدمات و شناسایی فرصت‌های سرمایه‌گذاری جدید;بکارگیری و توسعه زنجیره ارزش محصولات و خدمات با مطالعات فرصت ها و تحقیقات بازار و شناسایی فرصت های سرمایه گذاری در ساختمان های کاربری های جدید و بازارهای منطقه ای جدید و ... همچنین توسعه خدمات;تحقیق و توسعه (COP-241)| توسعه مدل کسب‌وکار (MOP-123)| بازاریابی و برندینگ (COP-251);توسعه سبد محصولات و بازارها|افزایش سودآوری, ایجاد ارزش افزوده در بازار داخلی و خارجی;تنوع محصولات مدرن;تعداد محصولات جدید ارائه‌شده | توسعه محصولات و خدمات جدید | زمان عرضه به بازار | درصد نوآوری و تحقیق و توسعه محصولات | نسبت سرمایه‌گذاری تحقیق و توسعه | درصد موفقیت پروژه‌های تحقیق و توسعه | رضایت از تنوع محصولات | درصد رضایت از نوآوری و توسعه محصولات;;
4. ایجاد ارزش پایدار;4-الف: طراحی ارزش و چگونگی ایجاد آن;4.1.4;یکپارچه‌سازی الزامات پایداری;ارزیابی تأثیرات زیست‌محیطی، اجتماعی و فرهنگی پروژه‌ها | مستندات لحاظ الزامات پایداری در طراحی و اجرا;لحاظ کردن الزامات پایداری در طراحی و اجرای پروژه های سرمایه گذاری ساختمان  معماری شهرسازی از طریق ارزیابی تأثیرات زیست‌محیطی و اجتماعی و فرهنگی;مدیریت ایمنی، بهداشت و محیط زیست (SOP-325)| مسئولیت اجتماعی (MOP-131);استفاده از فناوری‌های سبز (انرژی خورشیدی| مصرف بهینه آب)|توسعه مسئولیت اجتماعی (CSR);بهینه سازی مصرف انرژی;درصد کاهش مصرف منابع طبیعی و انرژی | درصد کاهش انتشار گازهای گلخانه‌ای | درصد کاهش ضایعات و پسماند | نرخ کاهش ضایعات | نرخ بازیافت ضایعات | نرخ بازیافت تولید | مدیریت بهینه مصرف انرژی | صرفه جویی های انرژی | شهرت سازمان به عنوان دوستدار محیط زیست;;
4. ایجاد ارزش پایدار;4-الف: طراحی ارزش و چگونگی ایجاد آن;4.1.5;بهره‌گیری از نوآوری;گزارش رویدادهای نوآوری و ایده‌پردازی | مستندات ایجاد ارزش‌های جدید از طریق نوآوری;ترویج نوآوری در طراحی و ایجاد ارزش‌های جدید از طریق برگزاری رویدادهای نوآوری و ایده‌پردازی.;تحقیق و توسعه (COP-241)| خودارزیابی و ممیزی داخلی (MOP-121);ایجاد مرکز R&D تخصصی| جذب ایده‌های نوآورانه در مسابقات یا رویدادهای کارآفرینی|توسعه تحقیق و توسعه (R&D);توسعه دانش فنی;نرخ نوآوری در محصولات و خدمات | نمره نوآوری در محصولات و خدمات | میزان خلاقیت و نوآوری در سازمان | نرخ بازده سرمایه گذاری در حوزه نوآوری | توانمندی پایپلاین نوآوری | تعداد اختراعات، حق امتیازها، ابداعات و تألیفات ثبت شده | استفاده از نوآوری‌ها برای بهبود فرآیندها، محصولات و خدمات ارائه شده به مشتریان;;
4. ایجاد ارزش پایدار;4-ب: اطلاع‌رسانی و فروش ارزش پیشنهادی;4.2.1;برندینگ پروژه ها;کمپین‌های تبلیغاتی و محتوای دیجیتال | مستندات ارزش افزایی و تمایزات محصولات و خدمات;بیان و توضیح تمایزات ارزشی محصولات و خدمات به‌طور واضح و شفاف از طریق کمپین‌های تبلیغاتی و محتوای دیجیتال و ارزش افزایی در پروژه ها;بازاریابی و برندینگ (COP-251);تقویت برندینگ بین‌المللی|افزایش سودآوری;اعتبار برند;ارزش ویژه برند | میانگین نمره شهرت برند | شاخص شهرت برند (شامل عملکرد اجتماعی و زیست‌محیطی) | جایگاه و اعتبار برند سازمان در مقایسه با رقبا | امتیاز ترغیب برند | آوازه شرکت | (0-100) Klout امتیاز | رضایت از خلاقیت و نوآوری | ارزش واقعی محصولات و خدمات ارائه شده به مشتریان;;
4. ایجاد ارزش پایدار;4-ب: اطلاع‌رسانی و فروش ارزش پیشنهادی;4.2.2;استفاده از شبکه‌سازی;همکاری با رسانه‌ها و تأثیرگذاران | مستندات بهره‌برداری از شبکه‌های ارتباطی برای ترویج ارزش پیشنهادی;بهره‌برداری از شبکه‌های ارتباطی برای ترویج ارزش پیشنهادی از طریق همکاری با رسانه‌ها و تأثیرگذاران.;بازاریابی و برندینگ (COP-251)| مدیریت ارتباطات سازمانی (MOP-122);توسعه بازاریابی دیجیتال و تحقیقات بازار|افزایش سودآوری, افزایش رضایت ذینفعان;توسعه ارتباط با مشتری;ردپاها در شبکه های اجتماعی | سهم نسبی از ارجاعات برخط | نرخ آگاهی برخط مشتریان | آوازه شرکت | (0-100) Klout امتیاز | رتبه بندی در موتورهای جستجو | نرخ موفقیت فعالیت های تبلیغاتی برخط | تعامل سازنده با رسانه‌ها در زمینه فعالیت‌های زیست‌محیطی | نمره اثربخشی ارتباطات سازمانی;;
4. ایجاد ارزش پایدار;4-ب: اطلاع‌رسانی و فروش ارزش پیشنهادی;4.2.3;استراتژی‌های نوآورانه فروش;مستندات استراتژی‌های فروش و بازاریابی نوآورانه | استفاده از ابزارهای دیجیتال و تحلیل داده‌ها;توسعه استراتژی‌های نوآورانه برای فروش و بازاریابی محصولات با استفاده از ابزارهای دیجیتال و تحلیل داده. فرایندها و انواع روش های فروش سازمانی و محلی و مشاورین املاک و غیره;مدیریت فروش (COP-252)| بازاریابی و برندینگ (COP-251)| فروش سازمانی و محلی (SOP-321);تحول دیجیتال در فرایندهای بازاریابی و فروش|افزایش سودآوری, دیجیتالی‌سازی فرایندها;توسعه فرایندهای دیجیتال;فروش (درآمد) | رشد فروش | فروش به ازای هر کانال فروش | نرخ تبدیل استعلام | نرخ موفقیت بازگشت به فروش | نرخ موفقیت فروش متقاطع | امتیاز خالص ترویج کننده فروش | نرخ تبدیل مشتری | درصد اجرای فناوری‌های جدید | صفحات بازدید شده | نرخ Bounce;;
4. ایجاد ارزش پایدار;4-ب: اطلاع‌رسانی و فروش ارزش پیشنهادی;4.2.4;پیشنهادهای قبل و بعد از معامله;طرح‌های فروش تسهیلاتی و ویژه | مستندات خدمات و پیشنهادات ارزشمند قبل و بعد از معامله;ارائه طرح های فروش تسهیلاتی و ویژه و خدمات و پیشنهادات ارزشمند قبل و بعد از معامله برای افزایش رضایت مشتری;خدمات پس از فروش 5 ساله (SOP-324)| مدیریت فروش (COP-252);ارتقاء خدمات پس از فروش و پشتیبانی پروژه‌ها|افزایش رضایت ذینفعان;افزایش وفاداری مشتریان;میانگین نمره تجربه کلی مشتری (CSAT) | میانگین نمره رضایت از پشتیبانی پس از فروش | کیفیت فرآیند تحویل محصولات و خدمات و پشتیبانی پس از فروش | میزان وفاداری مشتریان به محصولات و خدمات سازمان | امتیاز وفاداری مشتریان | نرخ حفظ مشتریان | ارزش دوره حیات مشتری | سودآوری مشتری | نرخ موفقیت فروش متقاطع | رضایت از فرآیند تحویل و خدمات فروش;;
4. ایجاد ارزش پایدار;4-ب: اطلاع‌رسانی و فروش ارزش پیشنهادی;4.2.5;تشویق ذی‌نفعان به نقش‌آفرینی در فروش;برنامه‌های تشویقی و پاداش‌دهی | مستندات مشارکت فعال ذی‌نفعان در فرآیند فروش و بازاریابی;تشویق ذی‌نفعان به مشارکت فعال در فرآیند فروش و بازاریابی از طریق برنامه‌های تشویقی و پاداش‌دهی.;مدیریت منابع انسانی (SOP-311)| مدیریت فروش (COP-252)| برنامه‌های انگیزشی و پاداش‌دهی (SOP-314);طراحی مسیر شغلی و برنامه‌های انگیزشی|افزایش رضایت ذینفعان, توانمندسازی نیروی انسانی;ارتقای تعلق سازمانی;امتیاز خالص ترویج کننده فروش | مشارکت مشتریان در بهبود فرآیندها و توسعه محصولات یا خدمات | درصد تعهد به فعالیت‌های هم‌آفرینی | تعداد پیشنهادات، مشارکت‌ها و کار تیمی کارکنان | میزان مشارکت فعال کارکنان و کار تیمی در سازمان | سیستم تشویق و تنبیه منصفانه | حمایت، تشویق و تقدیر از کارکنان توسط سازمان | تعهد کارکنان | میزان دلبستگی و تعلق خاطر کارکنان به سازمان;;
4. ایجاد ارزش پایدار;4-ج: ارائه ارزش پیشنهادی;4.3.1;مدیریت و اجرای پروژه ها;مستندات سازوکار مدیریت پروژه مطابق استاندارد PMBOK | گزارش حضور مستمر تیم فنی و اجرایی;ایجاد سازوکار مدیریت پروژه های ساختمانی مطابق با استانداردهای PMBOK و حضور مستمر تیم فنی و اجرایی پروژه ها به صورت مقیم;مدیریت پروژه‌ها، نظارت بر اجرا (COP-232)| دفتر مدیریت پروژه‌ها PMO (MOP-134);بهینه‌سازی هزینه‌های اجرایی| مدیریت پروژه‌ها| نظارت بر اجرا|تولید محصول با کیفیت, افزایش سودآوری;تحویل به موقع و پایدار;نمره عملکرد پروژه‌ها و فرآیندها | واریانس زمان بندی پروژه | واریانس هزینه یابی پروژه | ارزش کسب شده | کارایی عملیاتی فرآیندها | نرخ تحویل | چرخه زمانی اتمام درخواست | درصد موفقیت پروژه‌های تحقیق و توسعه | هزینه‌های اجرای پروژه‌ها | عملکرد بودجه نسبت به برنامه‌ریزی‌ها | نسبت هزینه های عملیاتی;;
4. ایجاد ارزش پایدار;4-ج: ارائه ارزش پیشنهادی;4.3.2;نظارت فنی و کیفی بر پروژه ها;بررسی و تایید مدارک فنی و اجرایی | مستندات نظارت دستگاه‌های مربوطه و عاملین پروژه;بررسی و تایید کلیه مدارک فنی و اجرایی پروژه ها از طرف دستگاه نظارت و عاملین پروژه ها و همچنین مبتنی بر الزامات طراحی مشاورین;کنترل کیفیت و ممیزی داخلی (MOP-121)| مدیریت پروژه‌ها، نظارت بر اجرا (COP-232);کنترل کیفی مستمر در طول پروژه| استقرار نظام مدیریت کیفیت یکپارچه (ISO9001)|تولید محصول با کیفیت;محصولات با کیفیت و استاندارد;نمره کیفیت محصولات و خدمات | شاخص کیفیت | کیفیت محصولات، خدمات و فرآیندها | کیفیت محصولات و خدمات بر اساس نرخ معایب و نواقص | نرخ کاهش خطاها و نقص‌های محصولات و خدمات | شش سیگما | کیفیت و دقت تحویل محصولات و خدمات به مشتریان | درصد رضایت از کیفیت محصولات | رضایت از کیفیت محصول/خدمت اصلی | امتیاز تطابقات قانونی;;
4. ایجاد ارزش پایدار;4-ج: ارائه ارزش پیشنهادی;4.3.3;رسیدگی به صورت وضعیت پیمانکاران;مستندات بررسی جزئیات فعالیت‌های پیمانکاران | گزارش مدیریت کیفیت، هزینه و ریسک پروژه‌ها;رسیدگی به جزئیات فعالیت ها و اقدامات اجرایی پروژه ها توسط پیمانکاران به منظور حصول اطمینان از حفظ کیفیت و هزینه ها و همچنین مدیریت ریسک  پروژه ها;مدیریت قراردادها و پیمانکاران (SOP-322)| مدیریت ریسک (MOP-133);بهینه‌سازی هزینه‌های اجرایی|افزایش سودآوری;کاهش هزینه‌ها;کارت امتیازی تامین کننده | میانگین نمره ارزیابی تأمین‌کننده | نمره کیفیت و عملکرد تأمین‌کنندگان | کارایی تامین کننده | تحویل به موقع کالاها و خدمات | واریانس هزینه یابی پروژه | احتمال ریسک در برابر پیامدهای ریسک | ظرفیت ریسک پذیری در برابر منابع در معرض خطر | درصد صرفه‌جویی در هزینه‌ها | وضعیت اجتناب از هزینه ها;;
4. ایجاد ارزش پایدار;4-ج: ارائه ارزش پیشنهادی;4.3.4;انعطاف‌پذیری در پاسخ به تغییرات;تحلیل روندهای بازار و نیازهای مشتری | مستندات همکاری تیم مشاورین، پیمانکاران و ذی‌نفعان;ایجاد قابلیت انعطاف‌پذیری در پاسخ به تغییرات بازار و نیازهای مشتری از طریق تحلیل روندهای بازار طی فرایند مشخص و با همکاری تیم مشاورین و پیمانکاران و هماهنگی با ذینفعان;پایش-تحلیل و بهبود مستمر (MOP-112)| مدیریت تغییر (MOP-136);توسعه نظام‌های مدیریت و تعالی سازمانی|افزایش رضایت ذینفعان;توسعه نظام های مدیریت و تعالی سازمانی;نمره بازسازی و تغییر ساختار | میانگین نمره تجربه کلی ذی‌نفعان | میانگین نمره تجربه کلی مشتری (CSAT) | نمره پیش‌بینی تغییرات محیط زیست و بازار | نمره تحلیل داده‌ها و روندهای فناوری | رضایت از انعطاف‌پذیری در ارائه خدمات | کیفیت ارتباط دوطرفه بین کارکنان و مدیریت سازمان | نمره اثربخشی ارتباطات سازمانی | مشارکت مشتریان در بهبود فرآیندها و توسعه محصولات یا خدمات;;
4. ایجاد ارزش پایدار;4-ج: ارائه ارزش پیشنهادی;4.3.5;استفاده از فناوری‌های جدید در طراحی و اجرا;مستندات بهره‌برداری از فناوری‌های نوین مانند BIM و اینترنت اشیا | گزارش بهبود فرآیندهای طراحی و مهندسی;بهره‌برداری از فناوری‌های نوین برای بهبود فرآیندهای طراحی و مهندسی و ارائه ارزش از طریق سیستم‌های اتوماسیون و مدیریت پروژه ها- نظیر BIM و فناوری اینترنت اشیا;تحقیق و توسعه (COP-241)| مدیریت فناوری اطلاعات و ارتباطات (SOP-326)| مدلسازی اطلاعات ساختمانی BIM (5.3.5);استفاده از فناوری‌های نوین ساخت و مصالح سبز| بکارگیری فناوری‌های هوشمندسازی (BMS| IoT)|ارتقای سطح تکنولوژیک ساختمان;توسعه سیستم‌های هوشمند ساختمان;درصد اجرای فناوری‌های جدید | استفاده و توسعه فناوری‌های نوین | توسعه فناوری و اطلاعات | هزینه های فناوری اطلاعات به عنوان درصدی از درآمد | نرخ بازده سرمایه گذاری در حوزه نوآوری | درصد استفاده از فناوری برای ایجاد ارزش پایدار | استفاده از نوآوری‌ها برای بهبود فرآیندها، محصولات و خدمات ارائه شده به مشتریان | استفاده از فناوری‌های نوین برای حل مشکلات زیست‌محیطی | نسبت سازگاری با معماری سازمانی;;
4. ایجاد ارزش پایدار;4-ج: ارائه ارزش پیشنهادی;4.3.6;مدیریت زنجیره تأمین مصالح ساختمانی;مستندات بهینه‌سازی زنجیره تأمین | گزارش همکاری با تأمین‌کنندگان و استفاده از فناوری‌های پیشرفته;بهینه‌سازی مدیریت زنجیره تأمین به‌منظور افزایش کارایی و کاهش هزینه‌ها از طریق همکاری با تأمین‌کنندگان در بخش های پر ریسک نظیر تامین آهن آلات و سیمان و کاشی سرامیک و سنگ ها و درب پنجره و غیره و استفاده از فناوری‌های پیشرفته و دانش بنیان;مدیریت تدارکات و پشتیبانی (SOP-323)| مدیریت زنجیره تامین (SOP-324);بهینه‌سازی هزینه‌های اجرایی| توسعه زنجیره ارزش|افزایش سودآوری, بهینه‌سازی هزینه‌های اجرایی;کاهش هزینه‌ها;نمره زنجیره تأمین پایدار | میانگین نمره مدیریت ارتباطات با تأمین‌کنندگان | فاصله مکانی زنجیره تامین | کارایی تامین کننده | تحویل به موقع کالاها و خدمات | درصد صرفه‌جویی در هزینه‌ها | نرخ کمبود موجودی | میزان گردش موجودی کالاها و مواد | گردش موجودی کالا و مواد | منبع‌یابی و خرید مسئولانه و پایدار | اجرای اصول اقتصاد چرخشی در زنجیره تأمین;;
4. ایجاد ارزش پایدار;4-د: تعریف و اجرای تجربه کلی;4.4.1;پیش‌بینی‌ها برای طراحی تجربه;تحلیل داده‌ها و نظرسنجی‌های نیازها و انتظارات مشتریان | مستندات طراحی تجربه مثبت;پیش‌بینی نیازها و انتظارات مشتریان برای طراحی تجربه مثبت از طریق تحلیل داده‌ها و نظرسنجی‌ها.;رصد بازار و کشف فرصت (COP-211)| تحلیل داده‌ها و نظرسنجی‌ها (MOP-122);توسعه بازاریابی دیجیتال و تحقیقات بازار|افزایش رضایت ذینفعان;توسعه ارتباط با مشتری;میانگین نمره تجربه کلی مشتری (CSAT) | میانگین نمره تجربه کلی ذی‌نفعان | نمره تحلیل داده‌ها و روندهای فناوری | نمره پیش‌بینی تغییرات محیط زیست و بازار | نرخ آگاهی مشتریان | میزان آگاهی مشتریان از اهداف سازمان | مدیریت و نگهداری بانک‌های اطلاعاتی مشتریان | دسترسی و دقت اطلاعات و دانش سرمایه‌های فکری سازمان | مدیریت دانش و اطلاعات سازمانی;;
4. ایجاد ارزش پایدار;4-د: تعریف و اجرای تجربه کلی;4.4.2;ایجاد سفر مشتری منسجم;نقشه‌برداری سفر مشتری | مستندات طراحی سفر یکپارچه از ابتدا تا انتهای تعامل;طراحی سفر مشتری منسجم و یکپارچه از ابتدا تا انتهای تعامل با استفاده از نقشه‌برداری سفر مشتری.;طراحی نقشه سفر مشتری (SOP-325)| مدیریت ارتباط با مشتریان (COP-253);توسعه سامانه‌های ارتباط با مشتری (CRM)|افزایش رضایت ذینفعان;توسعه ارتباط با مشتری;میانگین نمره تجربه کلی مشتری (CSAT) | میزان وفاداری و کیفیت تجربه کلی مشتریان از تعامل با سازمان | کیفیت ارتباط و تعاملات سازمان با مشتریان | کیفیت فرآیند تحویل محصولات و خدمات و پشتیبانی پس از فروش | سرعت و کیفیت پاسخگویی و رسیدگی به درخواست‌ها و مشکلات مشتریان | مدیریت و نگهداری بانک‌های اطلاعاتی مشتریان | رضایت از سهولت دسترسی به خدمات | رضایت از کانال‌های ارتباطی شرکت;;
4. ایجاد ارزش پایدار;4-د: تعریف و اجرای تجربه کلی;4.4.3;حفظ رابطه مثبت;برنامه‌های ارتباطات منظم و وفاداری | مستندات حفظ روابط مثبت با مشتریان;ایجاد و حفظ روابط مثبت با مشتریان در تمامی مراحل تعامل از طریق ارتباطات منظم و برنامه‌های وفاداری.;مدیریت ارتباط با مشتریان (COP-253)| برنامه‌های وفاداری مشتری (SOP-324);توسعه سامانه‌های ارتباط با مشتری (CRM)| ارتقاء خدمات پس از فروش و پشتیبانی پروژه‌ها|افزایش رضایت ذینفعان;افزایش وفاداری مشتریان;میزان وفاداری مشتریان به محصولات و خدمات سازمان | امتیاز وفاداری مشتریان | نرخ حفظ مشتریان | نرخ حفظ مشتریان (رشد تعداد مشتریان و کاهش ریزش آنها) | درصد ریزش مشتری | نرخ جابجایی مشتریان | تصویر ذهنی و اعتبار سازمان در نظر مشتریان | میانگین نمره تجربه کلی مشتری (CSAT) | کیفیت ارتباط و تعاملات سازمان با مشتریان | میزان پایبندی سازمان به تعهدات ضمانت‌نامه‌ها و قراردادها;;
4. ایجاد ارزش پایدار;4-د: تعریف و اجرای تجربه کلی;4.4.4;ایجاد بانک اطلاعات و پروفایل مشتریان;پرونده‌های فیزیکی و الکترونیکی مشتریان | مستندات شخصی‌سازی خدمات بر اساس داده‌های مشتری;ایجاد پرونده های فیزیکی و الکترونیکی از کلیه اسناد و مدارک و خواسته های مشتریان و ارائه تجربه‌های شخصی‌سازی‌شده بر اساس نیازها و ترجیحات مشتریان از طریق استفاده از داده‌های مشتری و دریافت بازخوردها برای تکمیل نازک کاری و المان های شهری و معماری داخلی و غیره;مدیریت دانش (SOP-326)| سیستم‌های اطلاعاتی (5.4.1)| مدیریت ارتباط با مشتریان (COP-253);توسعه سامانه‌های ارتباط با مشتری (CRM)|افزایش رضایت ذینفعان;توسعه ارتباط با مشتری;مدیریت و نگهداری بانک‌های اطلاعاتی مشتریان | دسترسی و دقت اطلاعات و دانش سرمایه‌های فکری سازمان | مدیریت دانش و اطلاعات سازمانی | میانگین نمره تجربه کلی مشتری (CSAT) | سودآوری مشتری | ارزش دوره حیات مشتری | درصد درآمد به ازای هر مشتری عمده | نرخ آگاهی مشتریان | میزان آگاهی مشتریان از اهداف سازمان | رضایت از تخصص و دانش کارکنان;;
4. ایجاد ارزش پایدار;4-د: تعریف و اجرای تجربه کلی;4.4.5;طراحی نقشه سفر مشتری;مستندات نقاط تماس مشتری در مراحل مختلف | گزارش طراحی و اجرای نقشه سفر مشتری;طراحی نقاط تماس مختلف مشتریان از مراحل آگاهی و ارزیابی و خرید و تحویل و وفادارسازی و توصیه و نقل و انتقالات و غیره;طراحی نقشه سفر مشتری (SOP-325)| مدیریت ارتباط با مشتریان (COP-253);توسعه سامانه‌های ارتباط با مشتری (CRM)|افزایش رضایت ذینفعان;توسعه ارتباط با مشتری;میانگین نمره تجربه کلی مشتری (CSAT) | میزان وفاداری و کیفیت تجربه کلی مشتریان از تعامل با سازمان | کیفیت ارتباط و تعاملات سازمان با مشتریان | سرعت و کیفیت پاسخگویی و رسیدگی به درخواست‌ها و مشکلات مشتریان | نرخ تبدیل مشتریان بالقوه به مشتریان حقیقی | نرخ تبدیل مشتری | امتیاز وفاداری مشتریان | نرخ حفظ مشتریان | رضایت از سهولت دسترسی به خدمات;;
